氏名,X,Y,R2,仮説
submit,H都市公園数【箇所】,A総人口【人】,0.994416713634942,なんとなく
片岡,A総人口【人】,H都市公園数【箇所】,0.9944167136349418,センス
masako,A総人口【人】,H都市公園数【箇所】,0.9944167136349418,身の回りであまり公園を見かけないから
安藤帝国,A総人口【人】,H都市公園数【箇所】,0.9944167136349418,人口に比例して需要が出ると考えた。
安藤帝国,H道路実延長【ｋｍ】,A総人口【人】,0.9922619592029398,人口の増加に伴って道路も延長されていく
片岡,A総人口【人】,H道路実延長【ｋｍ】,0.9922619592029396,かん
特進アスリート,J一人当たりの医療費【千円】,A65歳以上人口【人】,0.9890759072693414,お年寄りは医療費がかかるから
土曜日,A65歳以上人口【人】,J一人当たりの医療費【千円】,0.9890759072693414,よく医療を必要とする高齢者が多ければ一人当たりの医療費も高くなるはずだから
黒メガネ,A総人口【人】,C耕地面積【ｈａ】,0.9852347971177692,人口が多いほど、住宅などの需要が増えて、耕地の面積が減る。
安藤帝国,A総人口【人】,C耕地面積【ｈａ】,0.9852347971177692,人口が増えるにつれて耕地面積が減少する
土曜日,A総人口【人】,C耕地面積【ｈａ】,0.9852347971177692,人口が増えて建物がたくさん建てられると、耕地面積は減るから
修学旅行,A総人口【人】,E小学校数【校】,0.9806833763356684,学校の中で一番直線っぽかったから
黒メガネ,A総人口【人】,E小学校数【校】,0.9806833763356684,人が増えてても、それはあくまで高齢者で、子供の数は減っている。
メロン,A総人口【人】,E小学校数【校】,0.9806833763356684,人口が増えるにつれて、小学校数が増える
メロン,A総人口【人】,E小学校数【校】,0.9806833763356684,人口が増えるにつれて小学校数が増える
片岡,H都市公園数【箇所】,A65歳以上人口【人】,0.9787191743099312,直感
フルネ,A65歳以上人口【人】,I医師数【人】,0.9737274114742024,人口が多いほど多くなると思ったから
安藤帝国,A65歳以上人口【人】,I医師数【人】,0.9737274114742024,医師が必要になる
安藤帝国,A総人口【人】,I医師数【人】,0.9678328376932196,人口増加と共に医師の数が増加する
メロン,A15歳未満人口【人】,E小学校数【校】,0.9648312126151132,15歳未満の人口が増えるにつれて小学校数が増える
土曜日,A15歳未満人口【人】,E小学校数【校】,0.9648312126151132,15歳未満の子供が多いほど、小学校も多くなると思ったから
岡の王,A総人口【人】,J一人当たりの医療費【千円】,0.9584578038403984,人口が増えるということは、出生数が増加する、あるいは、高齢者が長生きして病院に行くようになるので、人口が増えるにつれて、一人当たりの医療費が増加すると思う。
特進アスリート,A65歳以上人口【人】,I病院数【施設】,0.9356920246921272,老人はよく病院をりようするだろうから
土曜日,A65歳以上人口【人】,I病院数【施設】,0.9356920246921272,"よく病院に行く高齢者が多ければ病院数も多くなると思ったから
"
片岡,E小学校数【校】,A出生数【人】,0.9274653883288848,出生数と小学校の数になんかありそうだったから
粗大ごみ,D市町村数【‐】,I病院数【施設】,0.9094117127479135,病院一件当たりの医師の数はほとんど比例に等しい
岡の上の王,A総人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8905890806044121,人口が増えることは年寄りが増えることにもつながるから
岡の上の王,A出生数【人】,E幼稚園数【園】,0.889539227082648,出生数が増えれば、その分幼稚園に通う子供も増えるので、待機児童問題などの観点から幼稚園の数も増えるのではないか。
submit,E幼稚園数【園】,A15歳未満人口【人】,0.8504683659556938,幼稚園の数が減る＝子供たちが減っていると思うから
エアロビクスミッキー,J厚生年金保険受給権者年金総額【千円】,A65歳以上人口【人】,0.8264925423139589,年金は６５歳以上がもらうものだから。
岡の上の王,A65歳以上人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8264925423139586,なんとなく。
岡の上の王,A65歳以上人口【人】,J厚生年金保険受給権者年金総額【千円】,0.8264925423139586,なんとなく。
