調査年,地域,A1101_総人口【人】,A1301_15歳未満人口【人】,A1303_65歳以上人口【人】,A4101_出生数【人】,A9101_婚姻件数【組】,E2101_小学校数【校】,E3101_中学校数【校】,E4101_高等学校数【校】,F1101_労働力人口【人】,
2020年度,埼玉県 さいたま市,1324025 ,168805 ,304992 ,10006 ,5999 ,108 ,67 ,34 ,615596 ,
2020年度,埼玉県 川越市,354571 ,36460 ,89061 ,2314 ,1369 ,33 ,26 ,15 ,160561 ,
2020年度,埼玉県 熊谷市,194415 ,21814 ,57262 ,1117 ,726 ,30 ,17 ,7 ,96306 ,
2020年度,埼玉県 川口市,594274 ,72665 ,137923 ,3969 ,2833 ,52 ,27 ,7 ,292600 ,
2020年度,埼玉県 行田市,78617 ,8240 ,25010 ,371 ,249 ,16 ,8 ,1 ,39746 ,
2020年度,埼玉県 秩父市,59674 ,6590 ,20342 ,336 ,161 ,13 ,8 ,2 ,29303 ,
2020年度,埼玉県 所沢市,342464 ,33050 ,87050 ,2162 ,1330 ,32 ,15 ,6 ,156794 ,
2020年度,埼玉県 飯能市,80361 ,8424 ,25204 ,432 ,221 ,12 ,10 ,4 ,38940 ,
2020年度,埼玉県 加須市,111623 ,12547 ,33283 ,546 ,375 ,22 ,9 ,3 ,56924 ,
2020年度,埼玉県 本庄市,78569 ,8894 ,22661 ,411 ,258 ,13 ,6 ,6 ,39724 ,
2020年度,埼玉県 東松山市,91791 ,10582 ,25995 ,531 ,351 ,11 ,6 ,3 ,43431 ,
2020年度,埼玉県 春日部市,229792 ,21178 ,68663 ,1265 ,817 ,22 ,12 ,6 ,109493 ,
2020年度,埼玉県 狭山市,148699 ,15467 ,47661 ,796 ,514 ,16 ,9 ,6 ,71397 ,
2020年度,埼玉県 羽生市,52862 ,5295 ,15821 ,248 ,172 ,11 ,3 ,4 ,27277 ,
2020年度,埼玉県 鴻巣市,116828 ,13254 ,34993 ,667 ,381 ,19 ,8 ,3 ,58208 ,
2020年度,埼玉県 深谷市,141268 ,16815 ,40881 ,869 ,464 ,19 ,11 ,5 ,72359 ,
2020年度,埼玉県 上尾市,226940 ,25395 ,61216 ,1439 ,876 ,22 ,12 ,5 ,111781 ,
2020年度,埼玉県 草加市,248304 ,29088 ,61664 ,1459 ,1009 ,21 ,11 ,4 ,114509 ,
2020年度,埼玉県 越谷市,341621 ,43497 ,87123 ,2381 ,1474 ,30 ,16 ,8 ,164934 ,
2020年度,埼玉県 蕨市,74283 ,7885 ,17247 ,492 ,388 ,7 ,4 ,2 ,36295 ,
2020年度,埼玉県 戸田市,140899 ,20025 ,23065 ,1205 ,746 ,12 ,6 ,2 ,69930 ,
2020年度,埼玉県 入間市,145651 ,16610 ,42924 ,745 ,466 ,16 ,12 ,5 ,69911 ,
2020年度,埼玉県 朝霞市,141083 ,19106 ,27533 ,1251 ,777 ,10 ,5 ,2 ,68956 ,
2020年度,埼玉県 志木市,75346 ,9897 ,18689 ,563 ,298 ,8 ,5 ,3 ,35444 ,
2020年度,埼玉県 和光市,83989 ,11397 ,15040 ,748 ,523 ,9 ,3 ,2 ,43376 ,
2020年度,埼玉県 新座市,166017 ,20924 ,42180 ,1029 ,571 ,17 ,8 ,5 ,76325 ,
2020年度,埼玉県 桶川市,74748 ,8611 ,22126 ,422 ,255 ,7 ,4 ,2 ,37441 ,
2020年度,埼玉県 久喜市,150582 ,16537 ,46097 ,837 ,465 ,23 ,11 ,5 ,73351 ,
2020年度,埼玉県 北本市,65201 ,6593 ,21183 ,359 ,225 ,8 ,4 ,1 ,31824 ,
2020年度,埼玉県 八潮市,93363 ,11335 ,21283 ,799 ,530 ,10 ,5 ,2 ,46031 ,
2020年度,埼玉県 富士見市,111859 ,13657 ,27171 ,805 ,480 ,11 ,6 ,1 ,52750 ,
2020年度,埼玉県 三郷市,142145 ,18162 ,38602 ,1044 ,592 ,19 ,8 ,3 ,68914 ,
2020年度,埼玉県 蓮田市,61499 ,6739 ,19902 ,351 ,221 ,8 ,5 ,1 ,29348 ,
